Jacksonvilles	9	1
Minnesotas	10	2
Los Angeles	12	3
Philadelphias	9	3
Los Angeles	8	3
Houstons	10	4
Denvers	10	4
Baltimores	10	4
New Orleans	6	5
New Englans	11	5
Pittsburghs	7	5
Carolinas	4	5
Seattles	7	6
Chicagos	5	6
Atlantas	8	6
