Cameron Meredith	NO/6	10.10	0.3571428571	19	0/0/0	-0.5	1.2	0.5	0%
Calvin Ridley	ATL/8	12.01	-2	21	0/0/0	-0.6	1.1	0.6	0%
Chris Godwin	TB/5	12.14	0.7142857143	23	0/1/14	-0.7	0.9	-0.2	0%
John Ross	CIN/9	14.08	-0.9285714286	#N/A	0/0/0	-0.9	1.1	0.7	0%
Mike Williams	LAC/8	11.10	-0.5714285714	19	0/0/5	-0.9	0.8	0.0	0%
John Brown	BAL/10	14.04	3.5	21	0/1/9	-1.0	0.7	0.2	0%
Ryan Grant	IND/9	14.11	5.357142857	#N/A	1/3/14	-1.1	0.8	-0.3	0%
Danny Amendola	MIA/11	14.04	0.6428571429	24	1/5/14	-1.1	1.2	0.7	0%
Quincy Enunwa	NYJ/11	14.08	3.571428571	22	0/0/0	-1.2	1.3	-0.4	0%
Anthony Miller	CHI/5	11.12	0.07142857143	20	0/0/0	-1.2	1.2	0.8	0%
Michael Gallup	DAL/8	12.11	-1.714285714	22	0/0/0	-1.2	0.9	-0.1	0%
Martavis Bryant	OAK/7	12.13	-1	20	1/3/14	-1.3	0.9	0.0	0%
Keelan Cole	JAX/9	14.03	-0.9285714286	#N/A	2/4/15	-1.4	1.1	-0.3	0%
Mike Wallace	PHI/9	14.07	4.857142857	22	2/5/13	-1.5	0.6	-0.1	0%
Jermaine Kearse	NYJ/11	15.03	1.928571429	21	3/4/15	-1.5	1.2	0.4	0%
Donte Moncrief	JAX/9	14.03	2.857142857	23	0/2/11	-1.5	1.3	0.3	0%
Terrance Williams	DAL/8	15.07	3.357142857	22	1/1/15	-1.6	1.6	0.4	0%
Albert Wilson	MIA/11	15.07	2.785714286	22	0/2/11	-1.7	0.8	0.0	0%
Dez Bryant	/	10.09	-0.4285714286	19	4/8/15	-1.7	2.7	1.0	0%
Cole Beasley	DAL/8	14.13	1.071428571	#N/A	2/2/15	-1.7	1.1	0.1	0%
