Thomas Rawls (2)		SEA/6	10.10	-0.292857142857142	1/2/8	-1.5	1.7	0.1	0%	11
Charles Sims (2)		TB/11	14.4	2.33571428571428	1/2/7	-1.6	1.3	0.2	0%	11+
DeAndre Washington (3)		OAK/10	13.8	1.57142857142857	1/1/12	-1.8	1.1	0.3	0%	11+
Robert Turbin (2)		IND/11	15.3	2.12857142857143	1/2/14	-2.0	1.2	0.2	0%	11
Jamaal Williams (2)		GB/8	11.12	-0.792857142857142	0/0/0	-2.0	1.7	0.1	0%	11
Jalen Richard (2)		OAK/10	15.2	0.671428571428572	1/5/15	-2.1	1.0	0.4	0%	11+
Alvin Kamara (3)		NO/5	12.10	0.585714285714285	0/0/0	-2.1	1.5	-0.2	0%	11-
Rex Burkhead (4)		NE/9	14.1	-0.957142857142858	0/1/10	-2.1	1.4	0.0	0%	11
Dion Lewis (3)		NE/9	13.11	1.25714285714286	0/1/6	-2.2	1.6	0.2	0%	
TJ Yeldon (2)		JAX/8	15.2	0.950000000000001	2/6/15	-2.2	0.8	0.2	0%	
Jacquizz Rodgers (3)		TB/11	11.6	-1.27857142857143	1/4/9	-2.4	1.2	-0.0	0%	
Jonathan Williams (2)		BUF/6	14.5	-1.52142857142857	0/0/7	-2.6	1.2	-0.1	0%	
Tim Hightower (4)		SF/11	16.5	3.28571428571429	4/5/15	-2.7	1.3	0.1	0%	
Devontae Booker (3)		DEN/5	15.12	1.92857142857143	1/6/15	-2.9	1.4	0.2	0%	
Joe Williams (2)		SF/11	13.8	-0.992857142857143	0/0/0	-3.1	1.9	0.1	0%	
DOnta Foreman (2)		HOU/7	14.5	0.464285714285714	0/0/0	-3.2	1.3	0.2	0%	
Kyle Juszczyk (?)		SF/11	16.1	5.19285714285714	0/1/15	-3.3	2.1	-0.2	0%	
Jerick McKinnon (3)		MIN/9	15.11	5.04285714285714	1/6/14	-3.3	0.9	0.0	0%	
Damien Williams (2)		MIA/11			1/3/14	-3.5	0.9	0.3	0%	
Marlon Mack (3)		IND/11	13.9	0.1	0/0/0	-3.5	1.7	0.1	0%	
Zach Zenner (4)		DET/7	17.12	-0.85	1/3/10	-3.7	1.4	0.1	0%	
Donnel Pumphrey (3)		PHI/10			0/0/0	-3.8	1.6	0.0	0%	
Wendell Smallwood (4)		PHI/10	17.6	0.135714285714286	0/1/12	-3.8	1.3	0.1	0%	
Chris Ivory (3)		JAX/8	17.5	0.535714285714286	2/5/11	-3.9	1.1	-0.2	0%	
Branden Oliver (3)		LAC/9			0/0/0	-3.9	0.8	-0.4	0%	
Orleans Darkwa (4)		NYG/8	16.1	8.08571428571429	0/2/5	-4.2	1.6	0.3	0%	
